feature,importance
LapTimeSeconds,0.47031059044713724
quali_best_time,0.3661660450373107
quali_rank,0.07388164351133497
recent_quali_trend,0.026675473742891326
race_position,0.014225150236931139
driver_experience,0.010803824052834485
season_points,0.009169713867372906
team_consistency,0.006087183062348098
team_encoded,0.004576490623774591
driver_encoded,0.0035661421110460036
race_points,0.0031101626652399773
round,0.0028255344595836175
circuit_encoded,0.002123594234672376
season,0.0019875348430968723
circuit_familiarity,0.0014571876598373388
is_race_winner,0.0010613557911799767
is_wet,0.0006550353289598307
tyre_encoded,0.000614800321189943
grid_penalty,0.0003690168773591611
is_season_start,0.00020073297267857244
is_season_end,0.00013278815322074043
