split,model,total_races,top1_accuracy,top3_accuracy,top5_accuracy,mrr,ndcg_at_5
train,GradientBoosting,178,0.03932584269662921,0.8125,0.9375,0.653125,0.7251942429210425
val,GradientBoosting,20,0.0,0.0,0.0,0.0,0.0
test,GradientBoosting,20,0.0,0.0,0.0,0.0,0.0
